wind_speed,wind_direction,grid_current,grid_voltage,production
3.8,117.8,136.0,374.1,22788.4392
4.2,127.5,163.1,374.3,28348.0055
4.2,121.1,215.4,374.1,39097.0639
5.3,122.9,402.0,374.4,73991.3095
6.3,131.4,661.9,374.0,123954.7460
6.1,130.0,568.9,373.7,106195.5354
3.1,114.1,124.9,373.0,15928.3422
1.7,43.6,55.8,373.1,-3956.4684
1.4,317.7,48.3,373.1,-3833.7241
2.0,343.6,44.9,373.1,-4120.6233
1.7,2.1,45.9,373.2,-3712.9695
1.7,346.7,49.1,372.9,-3705.5549
2.1,24.5,50.6,372.0,-3578.6137
3.2,70.8,69.8,371.4,6005.1338
4.7,80.0,196.8,371.9,34908.4052
5.5,83.1,297.1,371.9,54692.6669
5.6,80.6,434.3,371.6,80521.9434
5.6,79.1,353.8,371.8,65269.0280
4.7,80.1,255.1,371.8,46831.2806
5.0,78.1,261.1,372.1,47927.5625
4.7,78.0,256.1,372.5,47197.5369
4.0,66.4,152.8,372.9,27871.2583
4.0,66.1,152.9,373.4,27557.8647
4.9,70.3,252.8,373.3,46916.6322
5.0,84.5,277.2,373.9,51539.1941
4.4,82.9,208.1,374.0,38637.8688
3.7,67.1,121.7,373.7,21787.2653
3.9,71.3,172.1,374.1,31343.0638
4.9,74.8,210.0,373.8,38187.3692
6.5,78.7,505.1,374.9,94546.5385
5.6,79.0,387.0,375.2,72566.4865
3.9,82.7,99.2,374.5,17322.2137
2.5,76.9,40.8,373.7,-198.9618
2.5,67.4,77.0,373.6,4571.8888
2.8,80.1,73.1,374.0,7512.4517
1.7,91.9,53.0,374.0,-3810.1160
1.2,105.8,51.6,373.7,-3623.9019
1.3,143.3,52.0,374.3,-3606.0770
2.2,97.5,52.8,374.7,-3967.5380
3.1,74.0,60.9,374.7,3122.6535
3.3,70.6,57.2,374.3,4155.9517
3.7,73.8,86.4,373.5,12410.1400
3.8,74.9,96.2,373.6,14356.6974
4.5,70.7,201.2,373.7,35945.5460
4.5,79.3,199.9,374.0,35804.5242
3.1,91.1,68.0,373.7,6862.6185
4.8,88.0,223.2,374.6,39539.2510
3.5,112.3,157.9,374.0,22055.7054
1.7,94.8,53.1,372.2,-4153.5980
3.9,75.0,141.6,372.8,21726.9110
4.6,84.7,199.0,373.2,35309.0042
3.0,92.7,67.9,373.6,6610.5510
1.8,107.2,49.4,373.2,-3654.1022
3.1,83.2,53.1,373.2,-498.3912
4.2,79.3,96.8,373.4,14987.1709
3.6,88.7,59.0,373.2,4711.2866
2.0,109.4,51.1,373.8,-3137.2417
2.1,135.5,46.1,372.4,-2873.4524
1.7,88.7,45.0,372.7,-3463.5800
2.0,85.4,44.3,372.7,-3669.1198
3.1,83.6,50.9,372.3,2260.0995
4.4,83.6,203.7,373.0,35358.4329
5.0,85.9,327.0,373.5,60294.6542
5.5,90.1,324.7,373.6,59903.9178
5.7,89.1,516.0,373.6,96232.9716
5.0,84.6,291.9,373.5,53623.3502
5.7,82.6,370.0,374.0,68690.9335
5.2,84.8,298.9,374.3,55541.8422
5.3,80.9,276.1,374.2,50966.2313
5.0,82.2,202.7,373.6,36946.6595
4.4,71.4,173.3,374.1,31024.0344
3.9,74.3,103.2,374.1,16670.6856
3.1,83.0,59.2,373.5,3962.3032
3.9,85.0,101.7,373.4,15324.8179
3.8,76.3,67.9,373.3,7648.5862
3.3,70.6,56.0,373.2,1757.3301
2.0,62.0,53.0,372.9,-3768.1609
2.3,68.7,54.0,373.1,-1127.4645
3.4,67.1,72.8,373.5,8642.0649
2.8,75.2,62.2,373.1,3742.3620
2.6,59.6,53.2,372.7,-2676.0329
1.9,62.9,52.0,372.9,-3655.0463
2.3,51.3,52.0,372.5,-3821.6431
3.0,54.9,60.3,372.7,2370.0071
4.7,57.6,191.1,372.6,33775.7465
4.0,49.8,191.4,372.9,33984.3562
4.3,54.3,167.2,372.4,29337.6500
3.6,48.7,87.1,371.2,11654.6178
2.4,61.8,53.1,370.8,-2250.4700
1.9,64.8,52.0,372.3,-3618.3138
2.6,73.3,52.2,374.4,-3841.1567
2.2,65.5,53.1,374.9,-4027.8609
2.2,78.1,52.8,374.4,-3827.0286
2.9,56.4,57.8,374.7,2742.6249
3.2,68.9,78.2,374.4,7122.9468
2.4,52.1,52.8,376.1,-3446.1973
